Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1005.65620754953,1015.47496830874,1050.78238258151,1071.16981060172,1084.47409823235,1078.59581109137,1068.56640049116,1056.63980992105,1056.09369084384,995.555317484544,1019.19559721551,941.006198383295,1000.29824887648,1011.72827202575,941.525836670771,958.726199589545,930.186016212105,951.151466490866,946.902597436713,948.077367118187,1030.93947568487,1033.51343021937,1035.39872091786,1037.00510726154,1037.06257910624,1044.94496999226,1051.1859194001,1038.68653866198,1058.62282121214,1105.09838128939,1135.3590787937,1178.42049434859,1227.8383415516,1309.47579833416,1331.21227800861,1329.3704808998,1338.59046548627,1385.61417581045,1413.98188639216,1437.37135466649,1465.89782581729,1476.38688314725,1488.85613490824,1505.25419206172,1527.09890788139
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Dem. Rep.",COD,1255.69660853314,1091.02374380592,1288.32777649995,1320.03817859144,1253.81952670838,1231.99389442249,1278.48523292439,1229.48528952487,1245.68660892435,1323.0460114718,1282.64331582123,1322.99781988124,1290.35656703292,1358.50275240035,1364.0849388945,1262.2249737007,1164.70931403705,1144.26482649245,1050.00742208486,1018.10162802476,1008.33935841626,1002.41537708901,968.331830863816,951.358551446458,971.071374827525,943.793842641303,957.671957013036,952.77108292065,927.077247982041,886.860720480585,801.567015056407,710.032087422205,614.369536883349,512.954857325072,470.161734645697,454.200631347294,440.994059132614,409.588064385259,392.136003823522,362.993793858463,327.240142486849,310.380267408895,309.911785375198,317.778121357431,329.3490636773,338.980980805364,346.179697463638,356.886805082139,367.843747648712,366.830226544363,380.578038274352,393.616173563894,407.671076943679,427.458520350728,452.339650501681,467.9145805459,462.47214741215,462.482920889479,473.294077418165,478.632426258904,471.504423341186,484.784649973339,511.29926733563,537.507995280245,555.097201309724
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,"Congo, Rep.",COG,1192.85616529576,1259.50432623652,1290.76325572732,1206.1534137723,1218.55873958116,1228.77600898682,1210.73883952684,1201.40130423722,1255.92951871902,1311.23001699027,1353.23817407044,1414.23871124911,1489.16526262926,1562.12627199102,1633.5218596222,1711.43754680841,1685.48230892799,1498.31802356781,1556.66717228441,1670.77966059118,1921.96861829766,2211.31674185091,2674.95109240622,2773.62663758927,2894.09973517119,2776.76428489105,2511.48682046393,2443.79019878646,2415.94091643835,2408.14159896257,2363.76701814587,2352.52754080776,2346.67913794406,2255.94360801961,2069.79640456567,2092.54337905245,2122.62819294837,2064.7536042465,2095.34403570595,1986.8478922289,2057.01922023551,2056.16505922617,2100.16876714574,2058.88683675038,2058.88402946896,2140.03686200251,2226.0233547376,2004.10103961966,2061.55829880574,2211.31572382028,2332.28508055953,2307.49384399715,2467.06102906839,2390.65754938662,2488.68118548992,2439.35189403696,2174.19310251224,2003.27121075187,1909.9560382117,1885.51080877731,1725.51040049963,1701.79060456872,1686.00234391385,1677.08549205924,1679.58056113856
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Costa Rica,CRI,3609.40919815712,3542.67400372842,3600.83309317377,3713.74115874139,3718.23603135995,3890.27312321486,4029.53384187838,4127.67381607679,4348.20735762894,4459.9882501269,4665.11649140379,4850.53963683383,5112.64690735059,5368.03692355095,5523.18884522814,5496.15761723951,5650.75233987113,5994.14245381707,6202.51126996896,6335.45848048835,6211.82989065546,5908.21722372551,5329.87185376346,5333.85210198158,5605.37574946238,5492.835429685,5641.94390937043,5756.51906802924,5802.82891464055,5979.07410560201,6037.0511166847,6018.68283702082,6408.20531541844,6693.49083166558,6826.32273426217,6940.83702069857,6871.60941046828,7085.98834302657,7430.17241063333,7584.42136978245,7726.51985682502,7854.23395802299,7989.55926102644,8207.45746763548,8445.52914946306,8655.33965419113,9160.29437453794,9779.51149390415,10104.9092039753,9883.675670469,10285.0856660482,10612.4694861206,11001.5192856643,11151.1437869836,11422.6735793246,11714.7105980803,12084.4351325708,12468.5654531785,12679.5253643093,12877.6501010869,12242.2098908608,13146.6927918545,13686.1614090906,14318.8389652286,14866.5823676279
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cote d'Ivoire,CIV,1495.16746754194,1584.79700802047,1544.73084077175,1701.85098116155,1925.78185183022,1795.15446525207,1927.01291240163,1939.09574002605,2099.19940540587,2209.89957239449,2340.31065205636,2453.14652785489,2445.07611276194,2475.02677039287,2466.81998522238,2551.2970644557,2765.86772079083,2861.15876809449,3055.94030479339,3010.66074752137,2576.91660095729,2562.42591923373,2466.30363782942,2276.86700017061,2128.64190478015,2138.06011188618,2123.07460132975,2035.62090959375,1981.38877451772,1962.42170003804,1866.0785698741,1794.12062566918,1719.71261335163,1649.47036183619,1598.69239055813,1647.08777075504,1706.97650014485,1801.13163122133,1808.42289027986,1770.86540389357,1717.95385651231,1636.57318705218,1551.27925902838,1441.58801755037,1451.86547141894,1431.73320203111,1437.77453798586,1420.1738958245,1454.62731800082,1473.9183699329,1540.52927270246,1426.46463864534,1503.43433046682,1632.32712787006,1742.53693001178,1814.71855088017,1889.27777949938,1972.81431788947,2013.32307598499,2093.09994335779,2055.08483996432,2146.47635317946,2227.09845246984,2312.13337034704,2390.74710632192
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9753.60487836725,7841.71300315166,7094.46747950951,6490.1397943525,6794.98507415394,7304.45852898653,7857.72262122232,8383.1827782947,8577.21251426078,8541.23941776512,8879.96498049361,9515.40905552687,10061.694309434,10618.9433102196,11058.7184484755,11522.3950059819,12105.053757832,12719.0032844824,12970.9291075827,12099.7971276004,11965.4854792127,11995.1325319122,11780.5330067439,11839.2458156921,11863.8584044911,12285.3032582105,12849.34640034,13485.8816667037,14060.7189510749,14641.2298817935,13544.9715102628,15394.4707328085,16616.3915356348,17147.1660226623,17770.8686584043
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,2620.08770849073,2795.975227427,2884.41117375584,2941.1069301794,2932.40455689131,3174.5497646957,3314.86184023098,3574.73735429822,3785.5968529222,3806.65442247557,3606.74390099913,4297.33730540661,4650.66605560812,4863.89364258073,5206.71097026126,5246.13530193757,5206.52966743673,5036.67220086788,5174.62120636915,5160.02681276118,4961.45738860948,4395.45493473446,3861.87437370304,3270.55047645542,3280.38453264476,3348.88763214863,3599.32498555978,3687.42530352589,3680.98418008951,3895.54643322661,4112.26168350671,4229.90309433356,4277.39565642359,4426.96599591833,4670.18802138025,5182.35283601732,5799.41163668615,6215.76603727772,6469.08507847668,6561.25305093006,6716.49048497058,6902.16397571139,7109.24834185635,7307.82004410741,7392.48324633027,7727.91997207998,7774.0698462623,7927.27769340823,8120.43123558256,8124.75282059108,7252.31672155863,7379.01400369289,7552.33152218841,7433.42885399673,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21523.6458973702,22171.0655460422,22231.8793091625,21840.8913168396,21512.1116035171,21112.3219220136,20913.6630394407,21011.1570622011,21202.4305115575,20952.8998451864,20706.4374577658,20518.0986087103,20277.5111916571,19921.4770634064,19529.5286704975,19361.8130008678,18953.0537415003,18651.4798142441,18355.1767135889,17980.5299262806,14901.2436825212,15787.3376825672,17307.719460018,17363.1343697039,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6173.318359375,7484.83203125,8708.4501953125,9350.990234375,10197.662109375,10667.8388671875,10756.2568359375,11269.8154296875,11801.1923828125,12669.4951171875,13127.52734375,13458.5263671875,14253.5576171875,15322.6865234375,16306.328125,17144.46875,16829.912109375,17928.541015625,17623.28515625,18281.021484375,19453.845703125,19385.287109375,19617.185546875,20562.296875,21349.75,22383.96484375,23019.25,23604.189453125,23930.783203125,24799.6484375,25631.3671875,26395.50390625,27156.818359375,27449.2265625,26183.685546875,26090.048828125,25538.78125,24285.49609375,22738.490234375,22581.828125,23487.228515625,24916.6328125,26105.5859375,27406.4765625,28625.779296875,27391.591796875,30228.03515625,31967.541015625,32340.841796875,32998.671875
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Czechia,CZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11900.5844581421,10543.6195982395,10479.4918667877,10475.0849147458,10775.9443891717,11453.3800188807,11944.7171474526,11886.3480904927,11850.8396211995,12026.4688076608,12543.9364342367,12958.4667607533,13179.9878092741,13618.9349633164,14259.63342798,15147.7214417611,16107.3042502688,16892.542854974,17190.6470333289,16272.8084766719,16665.9317825137,16926.2846674435,16772.3539223328,16759.7808635642,17118.0425571578,17931.5987670768,18359.0978103904,19257.6930680911,19736.6295261285,20360.0599221814,19233.1469549829,20373.8783043424,20627.348651011,20251.7485519779,20444.5430676362
